Year,Ba,Bua,Cakaudrove,Kadavu,Lau,Lomaiviti,Macuata,Nadroga,Naitasiri,Namosi,Ra,Rewa,Serua,Tailevu
1966,47823,9758,30000,8631,15989,13500,44433,37000,70000,2721,22500,70000,8000,35000
1966.5,48411,9843,30250,8633,15913,13510,45082,37400,72350,2750,22625,70900,8150,35250
1967,48999,9928,30500,8635,15837,13520,45731,37800,74700,2779,22750,71800,8300,35500
1967.5,49587,10013,30750,8637,15761,13530,46380,38200,77050,2808,22875,72700,8450,35750
1968,50175,10098,31000,8639,15685,13540,47029,38600,79400,2837,23000,73600,8600,36000
1968.5,50763,10183,31250,8641,15609,13550,47678,39000,81750,2866,23125,74500,8750,36250
1969,51351,10268,31500,8643,15533,13560,48327,39400,84100,2895,23250,75400,8900,36500
1969.5,51939,10353,31750,8645,15457,13570,48976,39800,86450,2924,23375,76300,9050,36750
1970,52527,10438,32000,8647,15381,13580,49625,40200,88800,2953,23500,77200,9200,37000
1970.5,53115,10523,32250,8649,15305,13590,50274,40600,91150,2982,23625,78100,9350,37250
1971,53703,10608,32500,8651,15229,13600,50923,41000,93500,3011,23750,79000,9500,37500
1971.5,54291,10693,32750,8653,15153,13610,51572,41400,95850,3040,23875,79900,9650,37750
1972,54879,10778,33000,8655,15077,13620,52221,41800,98200,3069,24000,80800,9800,38000
1972.5,55467,10863,33250,8657,15001,13630,52870,42200,100550,3098,24125,81700,9950,38250
1973,56055,10948,33500,8659,14925,13640,53519,42600,102900,3127,24250,82600,10100,38500
1973.5,56643,11033,33750,8661,14849,13650,54168,43000,105250,3156,24375,83500,10250,38750
1974,57231,11118,34000,8663,14773,13660,54817,43400,107600,3185,24500,84400,10400,39000
1974.5,57819,11203,34250,8665,14697,13670,55466,43800,109950,3214,24625,85300,10550,39250
1975,58407,11288,34500,8667,14621,13680,56115,44200,112300,3243,24750,86200,10700,39500
1975.5,58995,11373,34750,8669,14545,13690,56764,45000,114650,3272,24875,87100,10850,39750
1976,59584,11457,35000,8699,14452,13700,57414,45000,117000,3292,25000,88000,11000,40000
1976.5,60183,11582,35250,8754,14698,13820,58280,45500,117150,3369,25350,88500,11100,40400
1977,60782,11707,35500,8809,14622,13940,59146,46000,117300,3446,25700,89000,11200,40800
1977.5,61381,11832,35750,8864,14546,14060,60012,46500,117450,3523,26050,89500,11300,41200
1978,61980,11957,36000,8919,14453,14180,60878,47000,117600,3600,26400,90000,11400,41600
1978.5,62579,12082,36250,8974,14699,14300,61744,47500,117750,3677,26750,90500,11500,42000
1979,63178,12207,36500,9029,14623,14420,62610,48000,119840,3754,27100,91000,11600,42400
1979.5,63777,12332,36750,9084,14547,14540,63476,48500,121930,3831,27450,91500,11700,42800
1980,64376,12457,37000,9139,14454,14660,64342,49000,124020,3908,27800,92000,11800,43200
1980.5,64975,12582,37250,9194,14700,14780,65208,49500,126110,3985,28150,92500,11900,43600
1981,65574,12707,37500,9249,14624,14900,66074,50000,128200,4062,28500,93000,12000,44000
1981.5,66173,12832,37750,9304,14548,15020,66940,50500,130290,4139,28850,93500,12100,44400
1982,66772,12957,38000,9359,14455,15140,67806,51000,132380,4216,29200,94000,12200,44800
1982.5,67371,13082,38250,9414,14701,15260,68672,51500,134470,4293,29550,94500,12300,45200
1983,67970,13207,38500,9469,14625,15380,69538,52000,136560,4370,29900,95000,12400,45600
1983.5,68569,13332,38750,9524,14549,15500,70404,52500,138650,4447,30250,95500,12500,46000
1984,69168,13457,39000,9579,14456,15620,71270,53000,140740,4524,30600,96000,12600,46400
